Codigo Token: 35, Nombre Token: WHILE, Valor: envuelve, Linea: 13, Columna: 2

Codigo Token: 15, Nombre Token: PARENIZQ, Valor: abreregalo, Linea: 13, Columna: 11

Codigo Token: 2, Nombre Token: INTEGER, Valor: 3, Linea: 13, Columna: 22

Codigo Token: 9, Nombre Token: MENOR, Valor: snowball, Linea: 13, Columna: 24

Codigo Token: 2, Nombre Token: INTEGER, Valor: 2, Linea: 13, Columna: 33

Codigo Token: 16, Nombre Token: PARENDER, Valor: cierraregalo, Linea: 13, Columna: 35

Codigo Token: 17, Nombre Token: BRACEIZQ, Valor: abrecuento, Linea: 13, Columna: 48

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _h_, Linea: 14, Columna: 3

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 14, Columna: 7

Codigo Token: 2, Nombre Token: INTEGER, Valor: 20, Linea: 14, Columna: 15

Codigo Token: 23, Nombre Token: SUMA, Valor: navidad, Linea: 14, Columna: 18

Codigo Token: 2, Nombre Token: INTEGER, Valor: 2, Linea: 14, Columna: 26

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 14, Columna: 28

Codigo Token: 18, Nombre Token: BRACEDER, Valor: cierracuento, Linea: 15, Columna: 2

Codigo Token: 36, Nombre Token: SWITCH, Valor: varios, Linea: 16, Columna: 2

Codigo Token: 15, Nombre Token: PARENIZQ, Valor: abreregalo, Linea: 16, Columna: 9

Codigo Token: 3, Nombre Token: FLOAT, Valor: bromista, Linea: 16, Columna: 20

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _h_, Linea: 16, Columna: 29

Codigo Token: 16, Nombre Token: PARENDER, Valor: cierraregalo, Linea: 16, Columna: 33

Codigo Token: 17, Nombre Token: BRACEIZQ, Valor: abrecuento, Linea: 16, Columna: 46

Codigo Token: 37, Nombre Token: CASE, Valor: historia, Linea: 17, Columna: 3

Codigo Token: 5, Nombre Token: CHAR, Valor: '1', Linea: 17, Columna: 12

Codigo Token: 40, Nombre Token: DOSPUNTOS, Valor: sigue, Linea: 17, Columna: 16

Codigo Token: 3, Nombre Token: FLOAT, Valor: bromista, Linea: 17, Columna: 22

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _lp_, Linea: 17, Columna: 31

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 17, Columna: 36

Codigo Token: 2, Nombre Token: INTEGER, Valor: 2, Linea: 17, Columna: 44

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 17, Columna: 46

Codigo Token: 37, Nombre Token: CASE, Valor: historia, Linea: 18, Columna: 3

Codigo Token: 5, Nombre Token: CHAR, Valor: '2', Linea: 18, Columna: 12

Codigo Token: 40, Nombre Token: DOSPUNTOS, Valor: sigue, Linea: 18, Columna: 16

Codigo Token: 2, Nombre Token: INTEGER, Valor: rodolfo, Linea: 18, Columna: 23

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _l_, Linea: 18, Columna: 31

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 18, Columna: 35

Codigo Token: 2, Nombre Token: INTEGER, Valor: 4, Linea: 18, Columna: 43

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 18, Columna: 45

Codigo Token: 37, Nombre Token: CASE, Valor: historia, Linea: 19, Columna: 3

Codigo Token: 5, Nombre Token: CHAR, Valor: '3', Linea: 19, Columna: 12

Codigo Token: 40, Nombre Token: DOSPUNTOS, Valor: sigue, Linea: 19, Columna: 16

Codigo Token: 2, Nombre Token: INTEGER, Valor: rodolfo, Linea: 19, Columna: 23

Codigo Token: 41, Nombre Token: IDENTIFICADOR, Valor: _l_, Linea: 19, Columna: 31

Codigo Token: 44, Nombre Token: ASIGNACION, Valor: entrega, Linea: 19, Columna: 35

Codigo Token: 2, Nombre Token: INTEGER, Valor: 5, Linea: 19, Columna: 43

Codigo Token: 46, Nombre Token: ENDEXPR, Valor: finregalo, Linea: 19, Columna: 45

Codigo Token: 18, Nombre Token: BRACEDER, Valor: cierracuento, Linea: 20, Columna: 2

Codigo Token: 18, Nombre Token: BRACEDER, Valor: cierracuento, Linea: 23, Columna: 1

Cantidad de lexemas encontrados: 112
